,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
1,2017-08-11,19:45,Premier League,Matchweek 1,Fri,Home,W,4,3,Leicester City,2.5,1.5,68.0,59387,Petr Čech,3-4-3,Mike Dean,Match Report,,27,10,19.7,0.0,0,0
2,2017-08-19,17:30,Premier League,Matchweek 2,Sat,Away,L,0,1,Stoke City,1.5,0.7,76.0,29459,Petr Čech,3-4-3,Andre Marriner,Match Report,,18,6,18.1,0.0,0,0
3,2017-08-27,16:00,Premier League,Matchweek 3,Sun,Away,L,0,4,Liverpool,0.6,3.1,52.0,53206,Laurent Koscielny,3-4-3,Craig Pawson,Match Report,,8,0,16.6,0.0,0,0
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Home,W,3,0,Bournemouth,2.2,0.6,58.0,59262,Laurent Koscielny,3-4-3,Anthony Taylor,Match Report,,17,9,15.6,1.0,0,0
6,2017-09-17,13:30,Premier League,Matchweek 5,Sun,Away,D,0,0,Chelsea,1.4,0.8,49.0,41478,Laurent Koscielny,3-4-3,Michael Oliver,Match Report,,11,2,17.5,0.0,0,0
8,2017-09-25,20:00,Premier League,Matchweek 6,Mon,Home,W,2,0,West Brom,2.2,0.9,69.0,59134,Laurent Koscielny,3-4-3,Robert Madley,Match Report,,15,5,19.1,3.0,1,1
10,2017-10-01,12:00,Premier League,Matchweek 7,Sun,Home,W,2,0,Brighton,2.4,0.4,64.0,59378,Petr Čech,3-4-3,Kevin Friend,Match Report,,25,8,18.4,2.0,0,0
11,2017-10-14,17:30,Premier League,Matchweek 8,Sat,Away,L,1,2,Watford,1.0,1.6,54.0,20384,Per Mertesacker,3-4-3,Niel Swarbrick,Match Report,,9,6,20.6,0.0,0,0
13,2017-10-22,13:30,Premier League,Matchweek 9,Sun,Away,W,5,2,Everton,3.5,1.0,67.0,39189,Per Mertesacker,3-4-3,Craig Pawson,Match Report,,30,14,16.6,2.0,0,0
15,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Swansea City,2.0,0.9,72.0,59493,Per Mertesacker,3-4-3,Lee Mason,Match Report,,17,5,16.4,0.0,0,0
17,2017-11-05,14:15,Premier League,Matchweek 11,Sun,Away,L,1,3,Manchester City,0.3,1.8,43.0,54286,Laurent Koscielny,3-4-3,Michael Oliver,Match Report,,6,3,20.5,1.0,0,0
18,2017-11-18,12:30,Premier League,Matchweek 12,Sat,Home,W,2,0,Tottenham,2.1,0.7,43.0,59530,Laurent Koscielny,3-4-3,Mike Dean,Match Report,,14,5,16.4,1.0,0,0
20,2017-11-26,14:00,Premier League,Matchweek 13,Sun,Away,W,1,0,Burnley,1.8,0.4,64.0,21722,Laurent Koscielny,3-4-3,Lee Mason,Match Report,,17,1,22.5,0.0,1,1
