,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58.0,39940.0,Tom Cairney,4-3-3,Stuart Attwell,Match Report,,9,2,13.2,0.0,0,0
1,2023-08-19,15:00,Premier League,Matchweek 2,Sat,Home,L,0,3,Brentford,0.5,3.7,55.0,24236.0,Tim Ream,4-3-3,Darren Bond,Match Report,,10,2,22.3,1.0,0,0
2,2023-08-26,15:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Arsenal,0.6,3.2,29.0,59961.0,Bobby Reid,4-3-3,Paul Tierney,Match Report,,8,3,17.8,0.0,0,0
4,2023-09-02,15:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32.0,52899.0,Tom Cairney,4-3-3,Michael Oliver,Match Report,,6,4,11.4,0.0,0,0
5,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1.0,1.1,77.0,24467.0,Tim Ream,4-3-3,Michael Salisbury,Match Report,,13,2,19.5,2.0,0,0
6,2023-09-23,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49.0,25072.0,Tim Ream,4-3-3,Paul Tierney,Match Report,,10,5,18.7,1.0,0,0
8,2023-10-02,20:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56.0,24445.0,Tim Ream,4-3-3,Tim Robinson,Match Report,,10,3,13.2,0.0,0,0
9,2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60.0,24361.0,Tim Ream,4-3-3,Samuel Barrott,Match Report,,20,6,20.2,0.0,0,0
10,2023-10-23,20:00,Premier League,Matchweek 9,Mon,Away,L,0,2,Tottenham,1.0,1.5,45.0,61286.0,Tim Ream,4-2-3-1,Anthony Taylor,Match Report,,10,3,17.6,0.0,0,0
11,2023-10-29,14:00,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.7,1.4,29.0,31550.0,Tim Ream,4-2-3-1,Michael Salisbury,Match Report,,10,5,19.3,0.0,0,0
