,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Away,D,0,0,Crystal Palace,1.1,0.9,64,25151.0,Séamus Coleman,4-2-3-1,Jonathan Moss,Match Report,,10,2,17.1,0.0,0,0
1,2019-08-17,15:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Watford,0.7,1.2,44,39066.0,Séamus Coleman,4-2-3-1,Lee Mason,Match Report,,12,2,19.0,1.0,0,0
2,2019-08-23,20:00,Premier League,Matchweek 3,Fri,Away,L,0,2,Aston Villa,1.3,1.0,64,41922.0,Séamus Coleman,4-2-3-1,Michael Oliver,Match Report,,12,1,21.0,0.0,0,0
4,2019-09-01,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,1.3,2.0,58,39374.0,Séamus Coleman,4-2-3-1,Anthony Taylor,Match Report,,15,6,15.6,0.0,0,0
5,2019-09-15,14:00,Premier League,Matchweek 5,Sun,Away,L,1,3,Bournemouth,1.5,1.4,59,10416.0,Séamus Coleman,4-2-3-1,Paul Tierney,Match Report,,14,5,16.4,0.0,0,0
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,1.0,0.5,69,39354.0,Séamus Coleman,4-2-3-1,Simon Hooper,Match Report,,16,3,18.3,1.0,0,0
8,2019-09-28,17:30,Premier League,Matchweek 7,Sat,Home,L,1,3,Manchester City,2.4,2.8,37,39222.0,Séamus Coleman,4-2-3-1,Michael Oliver,Match Report,,12,7,10.7,1.0,0,0
9,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Away,L,0,1,Burnley,1.3,0.6,58,20650.0,Séamus Coleman,4-2-3-1,Graham Scott,Match Report,,11,2,15.7,1.0,0,0
10,2019-10-19,12:30,Premier League,Matchweek 9,Sat,Home,W,2,0,West Ham,2.1,0.8,51,39263.0,Lucas Digne,4-2-3-1,Paul Tierney,Match Report,,19,10,16.4,1.0,0,0
11,2019-10-26,15:00,Premier League,Matchweek 10,Sat,Away,L,2,3,Brighton,0.9,1.2,45,30529.0,Lucas Digne,4-2-3-1,Andy Madley,Match Report,,10,6,17.2,0.0,0,0
13,2019-11-03,16:30,Premier League,Matchweek 11,Sun,Home,D,1,1,Tottenham,1.1,0.6,47,39001.0,Lucas Digne,4-1-4-1,Martin Atkinson,Match Report,,7,3,14.3,0.0,0,0
14,2019-11-09,15:00,Premier League,Matchweek 12,Sat,Away,W,2,1,Southampton,1.8,0.9,53,29754.0,Gylfi Sigurðsson,4-2-3-1,Paul Tierney,Match Report,,24,5,15.8,0.0,0,0
15,2019-11-23,15:00,Premier League,Matchweek 13,Sat,Home,L,0,2,Norwich City,0.9,1.7,57,39241.0,Gylfi Sigurðsson,4-2-3-1,Anthony Taylor,Match Report,,18,7,17.6,1.0,0,0
16,2019-12-01,16:30,Premier League,Matchweek 14,Sun,Away,L,1,2,Leicester City,1.1,2.2,32,32144.0,Gylfi Sigurðsson,3-4-3,Graham Scott,Match Report,,11,3,13.8,0.0,0,0
17,2019-12-04,20:15,Premier League,Matchweek 15,Wed,Away,L,2,5,Liverpool,1.5,2.0,42,53094.0,Gylfi Sigurðsson,5-4-1,Mike Dean,Match Report,,12,4,15.5,1.0,0,0
18,2019-12-07,12:30,Premier League,Matchweek 16,Sat,Home,W,3,1,Chelsea,1.8,1.1,31,39114.0,Gylfi Sigurðsson,4-4-2,Craig Pawson,Match Report,,13,7,17.1,0.0,0,0
19,2019-12-15,14:00,Premier League,Matchweek 17,Sun,Away,D,1,1,Manchester Utd,0.3,1.4,34,63328.0,Séamus Coleman,4-4-2,Michael Oliver,Match Report,,8,3,23.8,1.0,0,0
21,2019-12-21,12:30,Premier League,Matchweek 18,Sat,Home,D,0,0,Arsenal,0.5,0.6,43,39336.0,Gylfi Sigurðsson,4-4-2,Kevin Friend,Match Report,,9,0,19.7,1.0,0,0
22,2019-12-26,15:00,Premier League,Matchweek 19,Thu,Home,W,1,0,Burnley,1.4,0.3,67,39177.0,Séamus Coleman,3-4-1-2,Anthony Taylor,Match Report,,21,5,19.2,1.0,0,0
23,2019-12-28,15:00,Premier League,Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,2.9,1.8,57,52211.0,Leighton Baines,4-4-2,Lee Mason,Match Report,,22,9,14.7,1.0,0,0
24,2020-01-01,17:30,Premier League,Matchweek 21,Wed,Away,L,1,2,Manchester City,1.0,1.5,35,54407.0,Séamus Coleman,3-5-2,Andre Marriner,Match Report,,7,2,11.3,0.0,0,0
26,2020-01-11,15:00,Premier League,Matchweek 22,Sat,Home,W,1,0,Brighton,1.7,1.3,53,38772.0,Gylfi Sigurðsson,4-4-2,David Coote,Match Report,,14,6,13.2,0.0,0,0
27,2020-01-18,15:00,Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham,1.7,1.3,50,59915.0,Séamus Coleman,4-4-2,Andre Marriner,Match Report,,11,3,12.7,0.0,0,0
28,2020-01-21,19:30,Premier League,Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,1.8,1.3,55,38822.0,Lucas Digne,4-4-2,Simon Hooper,Match Report,,17,8,18.8,1.0,0,0
29,2020-02-01,15:00,Premier League,Matchweek 25,Sat,Away,W,3,2,Watford,2.2,0.9,55,21229.0,Gylfi Sigurðsson,4-4-2,Craig Pawson,Match Report,,12,5,12.8,1.0,0,0
30,2020-02-08,12:30,Premier League,Matchweek 26,Sat,Home,W,3,1,Crystal Palace,2.5,1.1,47,38987.0,Séamus Coleman,4-4-2,David Coote,Match Report,,14,8,15.4,1.0,0,0
31,2020-02-23,16:30,Premier League,Matchweek 27,Sun,Away,L,2,3,Arsenal,2.7,1.3,49,60296.0,Leighton Baines,4-4-2,Stuart Attwell,Match Report,,17,5,15.6,0.0,0,0
32,2020-03-01,14:00,Premier League,Matchweek 28,Sun,Home,D,1,1,Manchester Utd,2.1,1.1,44,39374.0,Séamus Coleman,4-4-2,Chris Kavanagh,Match Report,,16,5,15.4,2.0,0,0
33,2020-03-08,14:00,Premier League,Matchweek 29,Sun,Away,L,0,4,Chelsea,0.5,1.8,40,40694.0,Gylfi Sigurðsson,4-4-2,Kevin Friend,Match Report,,3,1,17.5,0.0,0,0
34,2020-06-21,19:00,Premier League,Matchweek 30,Sun,Home,D,0,0,Liverpool,0.9,0.7,31,,Séamus Coleman,4-4-2,Mike Dean,Match Report,,8,3,11.6,0.0,0,0
35,2020-06-24,18:00,Premier League,Matchweek 31,Wed,Away,W,1,0,Norwich City,0.8,0.4,53,,Séamus Coleman,4-4-2,Andy Madley,Match Report,,12,5,16.8,1.0,0,0
36,2020-07-01,18:00,Premier League,Matchweek 32,Wed,Home,W,2,1,Leicester City,1.2,1.8,35,,Séamus Coleman,4-4-2,David Coote,Match Report,,6,1,18.4,0.0,1,1
37,2020-07-06,20:00,Premier League,Matchweek 33,Mon,Away,L,0,1,Tottenham,0.5,0.5,48,,Séamus Coleman,4-4-2,Graham Scott,Match Report,,11,3,23.2,1.0,0,0
38,2020-07-09,18:00,Premier League,Matchweek 34,Thu,Home,D,1,1,Southampton,1.0,2.4,39,,Séamus Coleman,4-4-2,Lee Mason,Match Report,,11,4,19.7,2.0,0,0
39,2020-07-12,12:00,Premier League,Matchweek 35,Sun,Away,L,0,3,Wolves,0.3,2.6,45,,Leighton Baines,3-5-2,Anthony Taylor,Match Report,,6,2,15.4,0.0,0,0
40,2020-07-16,18:00,Premier League,Matchweek 36,Thu,Home,D,1,1,Aston Villa,0.9,1.3,54,,Séamus Coleman,4-4-2,Anthony Taylor,Match Report,,9,1,18.0,0.0,0,0
41,2020-07-20,18:00,Premier League,Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,0.4,0.5,49,,Gylfi Sigurðsson,4-2-3-1,Stuart Attwell,Match Report,,5,2,14.8,0.0,0,0
42,2020-07-26,16:00,Premier League,Matchweek 38,Sun,Home,L,1,3,Bournemouth,1.7,1.5,69,,Séamus Coleman,4-2-3-1,Chris Kavanagh,Match Report,,13,5,13.5,0.0,0,0
