,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Cardiff City,2.2,1.4,63,10353,Andrew Surman,4-4-2,Kevin Friend,Match Report,,11,3,16.7,0.0,0,1
1,2018-08-18,15:00,Premier League,Matchweek 2,Sat,Away,W,2,1,West Ham,1.3,1.2,39,56888,Andrew Surman,4-4-2,Stuart Attwell,Match Report,,12,5,17.0,0.0,0,0
2,2018-08-25,15:00,Premier League,Matchweek 3,Sat,Home,D,2,2,Everton,2.2,0.6,50,10654,Andrew Surman,4-4-2,Lee Probert,Match Report,,16,4,16.8,0.0,1,1
4,2018-09-01,15:00,Premier League,Matchweek 4,Sat,Away,L,0,2,Chelsea,0.9,1.1,28,40178,Simon Francis,3-4-3,Lee Mason,Match Report,,8,1,18.0,0.0,0,0
5,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Home,W,4,2,Leicester City,2.3,2.3,47,10543,Steve Cook,4-4-2,Craig Pawson,Match Report,,9,4,22.1,0.0,1,1
6,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Away,L,0,4,Burnley,1.0,2.1,62,18636,Andrew Surman,4-4-2,Anthony Taylor,Match Report,,19,5,22.2,2.0,0,0
8,2018-10-01,20:00,Premier League,Matchweek 7,Mon,Home,W,2,1,Crystal Palace,1.8,0.4,45,10199,Simon Francis,4-4-2,Mike Dean,Match Report,,10,4,18.7,0.0,1,1
9,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Away,W,4,0,Watford,3.2,1.0,52,20139,Simon Francis,4-4-2,Jonathan Moss,Match Report,,9,6,11.1,0.0,1,1
10,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Home,D,0,0,Southampton,0.9,0.5,58,10986,Simon Francis,4-4-2,Lee Probert,Match Report,,9,2,12.8,0.0,0,0
11,2018-10-27,15:00,Premier League,Matchweek 10,Sat,Away,W,3,0,Fulham,2.0,0.5,49,25071,Simon Francis,3-4-3,Andre Marriner,Match Report,,11,4,18.8,0.0,1,1
13,2018-11-03,12:30,Premier League,Matchweek 11,Sat,Home,L,1,2,Manchester Utd,1.6,3.0,49,10792,Simon Francis,4-4-1-1,Paul Tierney,Match Report,,18,7,16.0,1.0,0,0
14,2018-11-10,15:00,Premier League,Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1.6,2.2,60,49266,Simon Francis,4-4-1-1,Lee Probert,Match Report,,14,4,14.9,1.0,0,0
