,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-13,13:30,Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,2.5,0.8,72,52077,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,18,6,19.0,0.0,0,0
1,2017-08-20,16:00,Premier League,Matchweek 2,Sun,Home,L,1,2,Chelsea,0.7,0.7,68,73587,Hugo Lloris,4-3-2-1,Anthony Taylor,Match Report,,18,6,18.8,0.0,0,0
2,2017-08-27,16:00,Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,2.3,0.9,66,67862,Hugo Lloris,4-2-3-1,Lee Mason,Match Report,,28,5,17.2,1.0,0,0
3,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Away,W,3,0,Everton,1.8,0.9,49,38835,Hugo Lloris,3-5-1-1,Graham Scott,Match Report,,15,6,17.3,1.0,0,0
5,2017-09-16,17:30,Premier League,Matchweek 5,Sat,Home,D,0,0,Swansea City,1.1,0.2,75,65366,Hugo Lloris,3-5-1-1,Mike Dean,Match Report,,26,8,20.5,2.0,0,0
7,2017-09-23,12:30,Premier League,Matchweek 6,Sat,Away,W,3,2,West Ham,1.2,0.6,51,56988,Hugo Lloris,3-5-1-1,Michael Oliver,Match Report,,15,5,21.0,2.0,0,0
9,2017-09-30,12:30,Premier League,Matchweek 7,Sat,Away,W,4,0,Huddersfield,1.5,0.2,59,24169,Hugo Lloris,3-4-3,Niel Swarbrick,Match Report,,14,7,16.4,0.0,0,0
10,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Home,W,1,0,Bournemouth,1.8,0.2,72,73502,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,18,6,17.3,1.0,0,0
12,2017-10-22,16:00,Premier League,Matchweek 9,Sun,Home,W,4,1,Liverpool,2.0,0.6,37,80827,Hugo Lloris,3-5-2,Andre Marriner,Match Report,,14,5,17.7,0.0,0,0
14,2017-10-28,12:30,Premier League,Matchweek 10,Sat,Away,L,0,1,Manchester Utd,1.2,0.8,55,75034,Hugo Lloris,3-5-1-1,Jonathan Moss,Match Report,,13,4,21.1,0.0,0,0
16,2017-11-05,12:00,Premier League,Matchweek 11,Sun,Home,W,1,0,Crystal Palace,0.9,0.8,68,65270,Harry Kane,3-5-1-1,Kevin Friend,Match Report,,12,2,20.2,0.0,0,0
17,2017-11-18,12:30,Premier League,Matchweek 12,Sat,Away,L,0,2,Arsenal,0.7,2.1,57,59530,Hugo Lloris,3-5-2,Mike Dean,Match Report,,14,4,16.8,0.0,0,0
19,2017-11-25,15:00,Premier League,Matchweek 13,Sat,Home,D,1,1,West Brom,1.8,0.7,72,65905,Hugo Lloris,3-5-2,Mike Jones,Match Report,,25,5,21.2,1.0,0,0
20,2017-11-28,19:45,Premier League,Matchweek 14,Tue,Away,L,1,2,Leicester City,2.4,0.6,62,31950,Hugo Lloris,3-5-2,Anthony Taylor,Match Report,,18,5,16.7,0.0,0,0
21,2017-12-02,15:00,Premier League,Matchweek 15,Sat,Away,D,1,1,Watford,0.8,0.4,50,20278,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,8,2,23.4,2.0,0,0
23,2017-12-09,15:00,Premier League,Matchweek 16,Sat,Home,W,5,1,Stoke City,3.6,0.5,71,62202,Hugo Lloris,4-2-3-1,Roger East,Match Report,,20,11,16.7,1.0,0,0
24,2017-12-13,20:00,Premier League,Matchweek 17,Wed,Home,W,2,0,Brighton,1.5,0.4,74,46438,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,25,7,18.1,1.0,0,0
25,2017-12-16,17:30,Premier League,Matchweek 18,Sat,Away,L,1,4,Manchester City,0.2,3.4,48,54214,Hugo Lloris,4-1-2-1-2◆,Craig Pawson,Match Report,,7,2,23.2,0.0,0,0
26,2017-12-23,17:30,Premier League,Matchweek 19,Sat,Away,W,3,0,Burnley,3.1,0.2,59,21650,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,17,7,17.8,0.0,1,1
27,2017-12-26,12:30,Premier League,Matchweek 20,Tue,Home,W,5,2,Southampton,3.0,0.8,57,55412,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,16,6,15.4,1.0,0,0
28,2018-01-02,19:45,Premier League,Matchweek 22,Tue,Away,W,2,0,Swansea City,1.3,0.4,67,20615,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,,12,5,16.4,1.0,0,0
29,2018-01-04,20:00,Premier League,Matchweek 21,Thu,Home,D,1,1,West Ham,1.8,0.5,70,50034,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,31,8,18.7,0.0,0,0
31,2018-01-13,17:30,Premier League,Matchweek 23,Sat,Home,W,4,0,Everton,3.8,0.3,61,76251,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,20,10,16.9,0.0,0,0
32,2018-01-21,16:00,Premier League,Matchweek 24,Sun,Away,D,1,1,Southampton,1.2,0.8,59,31361,Harry Kane,4-2-3-1,Kevin Friend,Match Report,,17,2,17.5,0.0,0,0
34,2018-01-31,20:00,Premier League,Matchweek 25,Wed,Home,W,2,0,Manchester Utd,1.5,1.0,52,81978,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,22,6,19.5,1.0,0,0
35,2018-02-04,16:30,Premier League,Matchweek 26,Sun,Away,D,2,2,Liverpool,2.6,1.2,66,53213,Hugo Lloris,4-1-2-1-2◆,Jonathan Moss,Match Report,,11,4,20.6,0.0,1,2
37,2018-02-10,12:30,Premier League,Matchweek 27,Sat,Home,W,1,0,Arsenal,2.6,0.6,50,83222,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,18,6,14.8,1.0,0,0
40,2018-02-25,12:00,Premier League,Matchweek 28,Sun,Away,W,1,0,Crystal Palace,1.7,0.2,75,25287,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,14,4,21.2,1.0,0,0
42,2018-03-03,15:00,Premier League,Matchweek 29,Sat,Home,W,2,0,Huddersfield,1.6,0.1,74,68311,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,15,7,18.9,1.0,0,0
44,2018-03-11,16:00,Premier League,Matchweek 30,Sun,Away,W,4,1,Bournemouth,2.4,1.2,63,10623,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,,12,8,13.9,0.0,0,0
46,2018-04-01,16:00,Premier League,Matchweek 32,Sun,Away,W,3,1,Chelsea,1.4,1.0,51,41364,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,12,6,18.3,0.0,0,0
47,2018-04-07,15:00,Premier League,Matchweek 33,Sat,Away,W,2,1,Stoke City,1.7,1.4,65,29515,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,15,4,18.5,2.0,0,0
48,2018-04-14,19:45,Premier League,Matchweek 34,Sat,Home,L,1,3,Manchester City,0.4,2.9,48,80811,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,8,3,20.2,0.0,0,0
49,2018-04-17,19:45,Premier League,Matchweek 35,Tue,Away,D,1,1,Brighton,1.3,1.1,63,30440,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,16,6,21.1,3.0,0,0
51,2018-04-30,20:00,Premier League,Matchweek 36,Mon,Home,W,2,0,Watford,1.4,1.3,61,52675,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,13,3,17.4,0.0,0,0
52,2018-05-05,15:00,Premier League,Matchweek 37,Sat,Away,L,0,1,West Brom,1.2,1.6,74,23685,Hugo Lloris,3-4-3,Mike Jones,Match Report,,18,5,19.7,3.0,0,0
53,2018-05-09,20:00,Premier League,Matchweek 31,Wed,Home,W,1,0,Newcastle Utd,0.8,1.0,63,54923,Hugo Lloris,4-2-3-1,Niel Swarbrick,Match Report,,11,7,17.4,1.0,0,0
54,2018-05-13,15:00,Premier League,Matchweek 38,Sun,Home,W,5,4,Leicester City,1.8,1.4,64,77841,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,14,6,18.8,1.0,0,0
