,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,L,0,1,West Brom,0.5,1.3,69,25011,Simon Francis,4-4-1-1,Robert Madley,Match Report,,9,2,21.2,0.0,0,0
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Home,L,0,2,Watford,1.0,2.4,55,10501,Andrew Surman,4-4-1-1,Roger East,Match Report,,6,2,12.5,0.0,0,0
3,2017-08-26,12:30,Premier League,Matchweek 3,Sat,Home,L,1,2,Manchester City,0.5,1.4,30,10419,Andrew Surman,5-3-2,Mike Dean,Match Report,,9,3,20.4,0.0,0,0
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Away,L,0,3,Arsenal,0.6,2.2,42,59262,Steve Cook,3-5-1-1,Anthony Taylor,Match Report,,7,2,13.0,1.0,0,0
5,2017-09-15,20:00,Premier League,Matchweek 5,Fri,Home,W,2,1,Brighton,1.2,0.9,62,10369,Simon Francis,4-4-1-1,Craig Pawson,Match Report,,15,3,22.2,1.0,0,0
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,L,1,2,Everton,0.3,2.0,49,38133,Simon Francis,4-4-1-1,Martin Atkinson,Match Report,,8,4,19.6,0.0,0,0
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,D,0,0,Leicester City,1.4,0.6,61,10444,Simon Francis,4-4-1-1,Graham Scott,Match Report,,19,4,19.4,0.0,0,0
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,0.2,1.8,28,73502,Simon Francis,3-5-1-1,Robert Madley,Match Report,,5,1,16.0,0.0,0,0
10,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Stoke City,1.1,1.2,47,29500,Simon Francis,4-4-1-1,Lee Probert,Match Report,,6,2,22.9,0.0,1,1
12,2017-10-28,17:30,Premier League,Matchweek 10,Sat,Home,L,0,1,Chelsea,0.5,1.6,42,10998,Simon Francis,3-4-1-2,Craig Pawson,Match Report,,7,1,19.3,0.0,0,0
13,2017-11-04,15:00,Premier League,Matchweek 11,Sat,Away,W,1,0,Newcastle Utd,1.5,0.7,52,52237,Simon Francis,4-4-2,Paul Tierney,Match Report,,16,5,17.1,0.0,0,0
14,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Home,W,4,0,Huddersfield,0.7,1.2,31,10879,Simon Francis,4-4-1-1,Lee Probert,Match Report,,9,5,16.7,0.0,0,0
15,2017-11-25,15:00,Premier League,Matchweek 13,Sat,Away,D,0,0,Swansea City,0.4,0.9,51,20228,Andrew Surman,4-4-1-1,Stuart Attwell,Match Report,,9,5,20.0,0.0,0,0
16,2017-11-29,19:45,Premier League,Matchweek 14,Wed,Home,L,1,2,Burnley,1.2,1.1,62,10302,Simon Francis,4-4-1-1,Roger East,Match Report,,11,2,15.5,0.0,0,0
17,2017-12-03,13:30,Premier League,Matchweek 15,Sun,Home,D,1,1,Southampton,0.9,1.5,49,10764,Simon Francis,4-4-1-1,Jonathan Moss,Match Report,,16,5,19.7,1.0,0,0
