,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,W,4.0,1.0,Luton Town,4.0,1.5,70.0,31872.0,Lewis Dunk,4-2-3-1,David Coote,Match Report,,26,11,17.0,0.0,1,1
1,2023-08-19,15:00,Premier League,Matchweek 2,Sat,Away,W,4.0,1.0,Wolves,2.2,2.1,53.0,31317.0,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,16,8,15.6,0.0,0,0
2,2023-08-26,17:30,Premier League,Matchweek 3,Sat,Home,L,1.0,3.0,West Ham,1.5,3.0,78.0,31508.0,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,25,10,19.5,1.0,0,0
3,2023-09-02,17:30,Premier League,Matchweek 4,Sat,Home,W,3.0,1.0,Newcastle Utd,1.3,1.2,56.0,31620.0,Lewis Dunk,4-2-3-1,Stuart Attwell,Match Report,,15,6,17.3,0.0,0,0
4,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Away,W,3.0,1.0,Manchester Utd,1.7,1.0,56.0,73592.0,Lewis Dunk,4-2-3-1,Jarred Gillett,Match Report,,10,8,17.1,0.0,0,0
6,2023-09-24,14:00,Premier League,Matchweek 6,Sun,Home,W,3.0,1.0,Bournemouth,1.9,1.1,61.0,31617.0,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,13,4,17.1,0.0,0,0
8,2023-09-30,12:30,Premier League,Matchweek 7,Sat,Away,L,1.0,6.0,Aston Villa,1.7,1.6,61.0,40636.0,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,11,3,15.4,0.0,0,0
10,2023-10-08,14:00,Premier League,Matchweek 8,Sun,Home,D,2.0,2.0,Liverpool,2.3,2.3,46.0,31752.0,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,14,3,17.0,2.0,0,0
11,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,1.0,2.0,Manchester City,0.8,0.8,45.0,53466.0,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,,5,3,12.1,0.0,0,0
13,2023-10-29,14:00,Premier League,Matchweek 10,Sun,Home,D,1.0,1.0,Fulham,1.4,0.7,71.0,31550.0,Lewis Dunk,3-4-3,Michael Salisbury,Match Report,,18,6,18.1,1.0,0,0
14,2023-11-04,15:00,Premier League,Matchweek 11,Sat,Away,D,1.0,1.0,Everton,0.5,0.7,79.0,38683.0,Lewis Dunk,4-3-3,Tim Robinson,Match Report,,7,2,15.6,1.0,0,0
16,2023-11-12,14:00,Premier League,Matchweek 12,Sun,Home,D,1.0,1.0,Sheffield Utd,1.5,1.1,61.0,31367.0,Pascal Groß,4-2-3-1,John Brooks,Match Report,,11,6,16.5,0.0,0,0
17,2023-11-25,15:00,Premier League,Matchweek 13,Sat,Away,W,3.0,2.0,Nott'ham Forest,1.3,1.9,53.0,29404.0,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,9,4,19.9,1.0,1,1
19,2023-12-03,14:00,Premier League,Matchweek 14,Sun,Away,L,2.0,3.0,Chelsea,1.1,2.1,68.0,39647.0,Adam Lallana,4-2-3-1,Craig Pawson,Match Report,,18,9,18.6,1.0,0,0
20,2023-12-06,19:30,Premier League,Matchweek 15,Wed,Home,W,2.0,1.0,Brentford,1.5,1.5,61.0,31571.0,Pascal Groß,4-2-3-1,Peter Bankes,Match Report,,18,7,16.1,0.0,0,0
21,2023-12-09,15:00,Premier League,Matchweek 16,Sat,Home,D,1.0,1.0,Burnley,2.6,0.6,72.0,31511.0,Lewis Dunk,4-2-3-1,Simon Hooper,Match Report,,29,11,14.2,2.0,0,0
23,2023-12-17,14:00,Premier League,Matchweek 17,Sun,Away,L,0.0,2.0,Arsenal,0.7,2.3,51.0,60257.0,Lewis Dunk,4-2-3-1,Tim Robinson,Match Report,,6,1,16.9,0.0,0,0
24,2023-12-21,20:00,Premier League,Matchweek 18,Thu,Away,D,1.0,1.0,Crystal Palace,1.2,1.3,65.0,24171.0,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,18,6,17.6,0.0,0,0
25,2023-12-28,19:30,Premier League,Matchweek 19,Thu,Home,W,4.0,2.0,Tottenham,3.2,2.3,45.0,31675.0,Lewis Dunk,4-1-2-1-2◆,Jarred Gillett,Match Report,,13,7,15.2,0.0,2,2
26,2024-01-02,19:30,Premier League,Matchweek 20,Tue,Away,D,0.0,0.0,West Ham,2.3,0.7,68.0,62462.0,Pascal Groß,4-3-1-2,Samuel Barrott,Match Report,,22,8,14.4,0.0,0,0
28,2024-01-22,19:45,Premier League,Matchweek 21,Mon,Home,D,0.0,0.0,Wolves,1.0,1.1,72.0,41505.0,Lewis Dunk,4-3-3,Craig Pawson,Match Report,,11,3,14.2,0.0,0,0
30,2024-01-30,19:45,Premier League,Matchweek 22,Tue,Away,L,0.0,4.0,Luton Town,0.9,3.1,59.0,10994.0,Lewis Dunk,3-4-3,Robert Jones,Match Report,,9,2,13.9,0.0,0,0
31,2024-02-03,15:00,Premier League,Matchweek 23,Sat,Home,W,4.0,1.0,Crystal Palace,1.4,0.3,68.0,31345.0,Lewis Dunk,3-4-3,Simon Hooper,Match Report,,13,6,16.7,0.0,0,0
32,2024-02-10,15:00,Premier League,Matchweek 24,Sat,Away,L,1.0,2.0,Tottenham,1.2,1.6,48.0,61445.0,Lewis Dunk,4-2-3-1,Samuel Barrott,Match Report,,5,2,17.8,0.0,1,1
33,2024-02-18,14:00,Premier League,Matchweek 25,Sun,Away,W,5.0,0.0,Sheffield Utd,2.9,0.6,79.0,29522.0,Lewis Dunk,4-2-3-1,Stuart Attwell,Match Report,,24,9,15.1,0.0,0,0
34,2024-02-24,15:00,Premier League,Matchweek 26,Sat,Home,D,1.0,1.0,Everton,1.4,0.3,64.0,41646.0,Lewis Dunk,4-2-3-1,Tony Harrington,Match Report,,23,7,16.3,1.0,0,0
36,2024-03-02,15:00,Premier League,Matchweek 27,Sat,Away,L,0.0,3.0,Fulham,1.3,1.3,70.0,24460.0,Lewis Dunk,3-4-3,Simon Hooper,Match Report,,15,5,17.6,0.0,0,0
38,2024-03-10,14:00,Premier League,Matchweek 28,Sun,Home,W,1.0,0.0,Nott'ham Forest,0.4,0.7,63.0,31505.0,Lewis Dunk,4-2-3-1,Michael Salisbury,Match Report,,10,3,17.5,0.0,0,0
40,2024-03-31,14:00,Premier League,Matchweek 30,Sun,Away,L,1.0,2.0,Liverpool,0.5,2.8,45.0,60061.0,Lewis Dunk,4-2-3-1,David Coote,Match Report,,9,3,17.2,0.0,0,0
41,2024-04-03,19:30,Premier League,Matchweek 31,Wed,Away,D,0.0,0.0,Brentford,1.1,0.6,66.0,17024.0,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,24,6,20.1,0.0,0,0
42,2024-04-06,17:30,Premier League,Matchweek 32,Sat,Home,L,0.0,3.0,Arsenal,0.5,3.4,54.0,31677.0,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,10,2,19.2,0.0,0,0
