,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
28,2020-02-01,15:00,Premier League,Matchweek 25,Sat,Home,D,0,0,Norwich City,1.0,2.2,44,52204.0,Jamaal Lascelles,5-4-1,Martin Atkinson,Match Report,,15,5,18.3,2.0,0,0
30,2020-02-16,16:30,Premier League,Matchweek 26,Sun,Away,L,0,4,Arsenal,0.9,2.6,32,60188.0,Jamaal Lascelles,5-4-1,Lee Mason,Match Report,,10,2,19.5,1.0,0,0
31,2020-02-22,15:00,Premier League,Matchweek 27,Sat,Away,L,0,1,Crystal Palace,0.2,1.6,55,25486.0,Jamaal Lascelles,5-4-1,Peter Bankes,Match Report,,8,2,24.5,0.0,0,0
32,2020-02-29,15:00,Premier League,Matchweek 28,Sat,Home,D,0,0,Burnley,1.1,0.7,54,52219.0,Jamaal Lascelles,4-4-2,Andy Madley,Match Report,,21,4,19.2,1.0,0,0
34,2020-03-07,15:00,Premier League,Matchweek 29,Sat,Away,W,1,0,Southampton,2.8,0.6,61,30096.0,Jamaal Lascelles,4-4-2,Graham Scott,Match Report,,13,6,14.5,0.0,0,1
35,2020-06-21,14:00,Premier League,Matchweek 30,Sun,Home,W,3,0,Sheffield Utd,2.0,0.6,46,,Jamaal Lascelles,4-4-1-1,David Coote,Match Report,,12,8,19.1,1.0,0,0
36,2020-06-24,18:00,Premier League,Matchweek 31,Wed,Home,D,1,1,Aston Villa,0.9,1.6,52,,Jamaal Lascelles,4-4-1-1,Chris Kavanagh,Match Report,,13,3,20.9,0.0,0,0
38,2020-07-01,18:00,Premier League,Matchweek 32,Wed,Away,W,4,1,Bournemouth,1.8,1.6,45,,Jamaal Lascelles,4-2-3-1,Kevin Friend,Match Report,,12,7,18.4,0.0,0,0
39,2020-07-05,14:15,Premier League,Matchweek 33,Sun,Home,D,2,2,West Ham,1.4,2.1,57,,Jamaal Lascelles,4-2-3-1,Craig Pawson,Match Report,,11,4,21.5,1.0,0,0
40,2020-07-08,18:00,Premier League,Matchweek 34,Wed,Away,L,0,5,Manchester City,0.3,2.8,27,,Jonjo Shelvey,4-4-1-1,Andy Madley,Match Report,,6,1,20.8,0.0,0,0
41,2020-07-11,12:30,Premier League,Matchweek 35,Sat,Away,L,1,2,Watford,1.3,3.4,51,,Jamaal Lascelles,4-4-1-1,Craig Pawson,Match Report,,8,4,15.2,0.0,0,0
42,2020-07-15,18:00,Premier League,Matchweek 36,Wed,Home,L,1,3,Tottenham,1.1,1.5,52,,Jonjo Shelvey,5-3-2,David Coote,Match Report,,22,6,20.7,1.0,0,0
43,2020-07-20,18:00,Premier League,Matchweek 37,Mon,Away,D,0,0,Brighton,0.9,0.8,39,,Jonjo Shelvey,3-5-2,Simon Hooper,Match Report,,12,1,14.5,0.0,0,0
44,2020-07-26,16:00,Premier League,Matchweek 38,Sun,Home,L,1,3,Liverpool,0.1,0.6,26,,Jonjo Shelvey,3-5-2,Anthony Taylor,Match Report,,3,2,21.2,0.0,0,0
