,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.3,1.3,47,10714.0,Oliver Norwood,3-5-2,Kevin Friend,Match Report,,8,3,19.0,0.0,0,0
1,2019-08-18,14:00,Premier League,Matchweek 2,Sun,Home,W,1,0,Crystal Palace,2.2,0.3,43,30197.0,Oliver Norwood,3-5-2,David Coote,Match Report,,15,3,15.6,0.0,0,0
2,2019-08-24,15:00,Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.3,0.8,49,30079.0,Oliver Norwood,3-5-2,Andy Madley,Match Report,,7,2,19.0,1.0,0,0
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Chelsea,1.1,2.0,38,40560.0,Oliver Norwood,3-5-2,Stuart Attwell,Match Report,,8,2,20.1,0.0,0,0
5,2019-09-14,15:00,Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,1.8,1.6,49,30985.0,Oliver Norwood,3-5-2,Lee Mason,Match Report,,17,4,16.7,0.0,0,0
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Away,W,2,0,Everton,0.5,1.0,31,39354.0,Oliver Norwood,3-5-2,Simon Hooper,Match Report,,2,1,12.8,0.0,0,0
8,2019-09-28,12:30,Premier League,Matchweek 7,Sat,Home,L,0,1,Liverpool,1.3,1.9,30,31774.0,Oliver Norwood,3-5-2,Anthony Taylor,Match Report,,12,2,14.0,0.0,0,0
9,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Away,D,0,0,Watford,0.4,1.4,60,20811.0,Oliver Norwood,3-5-2,Andre Marriner,Match Report,,9,3,19.8,0.0,0,0
10,2019-10-21,20:00,Premier League,Matchweek 9,Mon,Home,W,1,0,Arsenal,0.9,1.0,33,30775.0,Oliver Norwood,3-5-2,Mike Dean,Match Report,,8,2,17.6,0.0,0,0
11,2019-10-26,15:00,Premier League,Matchweek 10,Sat,Away,D,1,1,West Ham,1.0,2.3,40,59878.0,Oliver Norwood,3-5-2,David Coote,Match Report,,10,3,12.7,0.0,0,0
12,2019-11-02,15:00,Premier League,Matchweek 11,Sat,Home,W,3,0,Burnley,2.3,0.8,45,31131.0,Oliver Norwood,3-5-2,Simon Hooper,Match Report,,13,6,13.8,0.0,0,0
