,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,W,3,2,Chelsea,0.6,1.5,38,41616,Tom Heaton,4-4-1-1,Craig Pawson,Match Report,,10,5,14.5,1.0,0,0
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Home,L,0,1,West Brom,1.3,0.9,66,19619,Tom Heaton,4-4-1-1,Martin Atkinson,Match Report,,20,0,20.1,1.0,0,0
3,2017-08-27,16:00,Premier League,Matchweek 3,Sun,Away,D,1,1,Tottenham,0.9,2.3,34,67862,Tom Heaton,4-4-1-1,Lee Mason,Match Report,,13,3,13.1,0.0,0,0
4,2017-09-10,13:30,Premier League,Matchweek 4,Sun,Home,W,1,0,Crystal Palace,0.3,2.0,36,18862,Tom Heaton,4-4-2,Michael Oliver,Match Report,,4,2,18.0,0.0,0,0
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,D,1,1,Liverpool,0.2,2.2,29,53231,Ben Mee,4-4-1-1,Roger East,Match Report,,5,3,14.4,0.0,0,0
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Huddersfield,0.3,0.3,52,20759,Ben Mee,4-5-1,Chris Kavanagh,Match Report,,4,2,22.4,0.0,0,0
8,2017-10-01,14:15,Premier League,Matchweek 7,Sun,Away,W,1,0,Everton,0.4,1.1,37,38448,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,,5,2,14.0,0.0,0,0
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Home,D,1,1,West Ham,1.2,0.9,62,20945,Ben Mee,4-4-1-1,Stuart Attwell,Match Report,,20,5,21.3,2.0,0,0
10,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,0,3,Manchester City,0.2,3.1,23,54118,Ben Mee,4-4-1-1,Roger East,Match Report,,6,0,27.2,1.0,0,0
11,2017-10-30,20:00,Premier League,Matchweek 10,Mon,Home,W,1,0,Newcastle Utd,0.9,0.5,47,21031,Ben Mee,4-4-1-1,Mike Dean,Match Report,,12,5,16.3,0.0,0,0
