,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2018-08-12,16:00,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,1.7,42,59934,Petr Čech,4-2-3-1,Michael Oliver,Match Report,,9,3,18.7,0.0,0,0
1,2018-08-18,17:30,Premier League,Matchweek 2,Sat,Away,L,2,3,Chelsea,2.4,1.6,38,40491,Petr Čech,4-2-3-1,Martin Atkinson,Match Report,,15,6,16.9,0.0,0,0
2,2018-08-25,15:00,Premier League,Matchweek 3,Sat,Home,W,3,1,West Ham,1.8,1.1,61,59830,Petr Čech,4-2-3-1,Graham Scott,Match Report,,17,10,18.9,1.0,0,0
3,2018-09-02,13:30,Premier League,Matchweek 4,Sun,Away,W,3,2,Cardiff City,1.7,1.0,72,32316,Petr Čech,4-2-3-1,Anthony Taylor,Match Report,,17,11,16.1,0.0,0,0
4,2018-09-15,15:00,Premier League,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,1.0,0.4,63,52165,Petr Čech,4-2-3-1,Lee Probert,Match Report,,12,2,17.0,1.0,0,0
6,2018-09-23,16:00,Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,0.8,0.8,62,59964,Petr Čech,4-2-3-1,Jonathan Moss,Match Report,,9,5,18.3,0.0,0,0
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Watford,1.4,2.8,63,60019,Petr Čech,4-2-3-1,Anthony Taylor,Match Report,,9,2,14.7,0.0,0,0
10,2018-10-07,12:00,Premier League,Matchweek 8,Sun,Away,W,5,1,Fulham,1.1,1.4,52,25401,Granit Xhaka,4-4-2,Paul Tierney,Match Report,,9,7,16.6,0.0,0,0
11,2018-10-22,20:00,Premier League,Matchweek 9,Mon,Home,W,3,1,Leicester City,2.7,0.5,68,59886,Mesut Özil,4-2-3-1,Chris Kavanagh,Match Report,,19,6,17.7,2.0,0,0
13,2018-10-28,13:30,Premier League,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,0.9,2.3,57,25718,Mesut Özil,4-2-3-1,Martin Atkinson,Match Report,,7,2,20.5,2.0,0,0
15,2018-11-03,17:30,Premier League,Matchweek 11,Sat,Home,D,1,1,Liverpool,1.4,1.3,61,59993,Mesut Özil,4-2-3-1,Andre Marriner,Match Report,,12,4,15.3,0.0,0,0
17,2018-11-11,16:30,Premier League,Matchweek 12,Sun,Home,D,1,1,Wolves,0.9,1.9,71,60030,Mesut Özil,4-2-3-1,Stuart Attwell,Match Report,,10,3,20.4,0.0,0,0
18,2018-11-25,13:30,Premier League,Matchweek 13,Sun,Away,W,2,1,Bournemouth,1.6,0.6,58,10792,Granit Xhaka,3-4-3,Craig Pawson,Match Report,,20,4,17.8,0.0,0,0
20,2018-12-02,14:05,Premier League,Matchweek 14,Sun,Home,W,4,2,Tottenham,2.7,1.2,59,59973,Granit Xhaka,3-4-3,Mike Dean,Match Report,,21,5,17.3,0.0,1,1
21,2018-12-05,20:00,Premier League,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,1.1,1.1,55,74507,Aaron Ramsey,3-4-3,Andre Marriner,Match Report,,9,4,16.2,0.0,0,0
22,2018-12-08,15:00,Premier League,Matchweek 16,Sat,Home,W,1,0,Huddersfield,1.4,0.3,62,59893,Granit Xhaka,3-1-4-2,Paul Tierney,Match Report,,14,2,17.8,0.0,0,0
24,2018-12-16,13:30,Premier League,Matchweek 17,Sun,Away,L,2,3,Southampton,1.9,1.3,66,29497,Laurent Koscielny,3-4-3,Chris Kavanagh,Match Report,,13,4,18.8,0.0,0,0
26,2018-12-22,12:30,Premier League,Matchweek 18,Sat,Home,W,3,1,Burnley,1.6,1.2,60,59493,Mesut Özil,4-3-1-2,Kevin Friend,Match Report,,11,6,14.1,1.0,0,0
27,2018-12-26,17:15,Premier League,Matchweek 19,Wed,Away,D,1,1,Brighton,0.8,1.1,67,30608,Laurent Koscielny,4-1-2-1-2◆,Anthony Taylor,Match Report,,7,4,19.4,0.0,0,0
28,2018-12-29,17:30,Premier League,Matchweek 20,Sat,Away,L,1,5,Liverpool,1.0,3.8,52,53326,Aaron Ramsey,4-2-3-1,Michael Oliver,Match Report,,8,2,17.0,0.0,0,0
29,2019-01-01,15:00,Premier League,Matchweek 21,Tue,Home,W,4,1,Fulham,4.5,1.4,60,59887,Laurent Koscielny,3-4-3,Graham Scott,Match Report,,16,8,12.0,0.0,0,0
31,2019-01-12,12:30,Premier League,Matchweek 22,Sat,Away,L,0,1,West Ham,0.7,0.6,58,59946,Laurent Koscielny,3-4-3,Jonathan Moss,Match Report,,11,2,17.3,0.0,0,0
32,2019-01-19,17:30,Premier League,Matchweek 23,Sat,Home,W,2,0,Chelsea,1.5,0.9,36,59979,Laurent Koscielny,4-1-2-1-2◆,Anthony Taylor,Match Report,,13,5,12.7,0.0,0,0
34,2019-01-29,19:45,Premier League,Matchweek 24,Tue,Home,W,2,1,Cardiff City,2.6,0.8,70,59933,Mesut Özil,4-3-1-2,Mike Dean,Match Report,,14,3,16.9,0.0,1,1
35,2019-02-03,16:30,Premier League,Matchweek 25,Sun,Away,L,1,3,Manchester City,0.7,2.7,41,54483,Laurent Koscielny,4-4-2,Martin Atkinson,Match Report,,4,2,18.6,0.0,0,0
36,2019-02-09,15:00,Premier League,Matchweek 26,Sat,Away,W,2,1,Huddersfield,1.4,1.6,45,24182,Laurent Koscielny,3-4-3,Jonathan Moss,Match Report,,9,4,12.6,0.0,0,0
39,2019-02-24,14:05,Premier League,Matchweek 27,Sun,Home,W,2,0,Southampton,2.1,0.8,62,59877,Aaron Ramsey,4-2-3-1,Graham Scott,Match Report,,12,4,14.1,0.0,0,0
40,2019-02-27,19:45,Premier League,Matchweek 28,Wed,Home,W,5,1,Bournemouth,2.5,0.9,64,59618,Laurent Koscielny,3-4-3,Chris Kavanagh,Match Report,,16,7,15.3,1.0,0,0
41,2019-03-02,12:30,Premier League,Matchweek 29,Sat,Away,D,1,1,Tottenham,2.6,1.6,40,81332,Laurent Koscielny,4-2-3-1,Anthony Taylor,Match Report,,8,2,15.4,0.0,0,1
43,2019-03-10,16:30,Premier League,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,1.7,2.3,46,60000,Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,,13,1,19.4,0.0,1,1
45,2019-04-01,20:00,Premier League,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,0.8,0.1,70,59869,Aaron Ramsey,3-4-3,Anthony Taylor,Match Report,,7,3,15.6,0.0,0,0
46,2019-04-07,14:05,Premier League,Matchweek 33,Sun,Away,L,0,1,Everton,0.3,2.4,57,39400,Mesut Özil,3-4-3,Kevin Friend,Match Report,,7,2,15.4,0.0,0,0
48,2019-04-15,20:00,Premier League,Matchweek 34,Mon,Away,W,1,0,Watford,2.3,1.0,65,20480,Laurent Koscielny,4-2-3-1,Craig Pawson,Match Report,,19,5,17.0,0.0,0,0
50,2019-04-21,16:00,Premier League,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,1.2,1.6,72,59929,Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,,12,5,14.9,0.0,0,0
51,2019-04-24,19:45,Premier League,Matchweek 31,Wed,Away,L,1,3,Wolves,0.8,1.2,70,31436,Laurent Koscielny,4-2-3-1,Stuart Attwell,Match Report,,11,1,20.0,1.0,0,0
52,2019-04-28,12:00,Premier League,Matchweek 36,Sun,Away,L,0,3,Leicester City,0.6,3.3,34,32037,Granit Xhaka,4-4-2,Michael Oliver,Match Report,,6,1,14.9,0.0,0,0
54,2019-05-05,16:30,Premier League,Matchweek 37,Sun,Home,D,1,1,Brighton,2.4,1.9,70,59965,Mesut Özil,4-3-1-2,Anthony Taylor,Match Report,,19,6,18.7,2.0,1,1
56,2019-05-12,15:00,Premier League,Matchweek 38,Sun,Away,W,3,1,Burnley,2.7,1.7,60,21461,Nacho Monreal,4-2-3-1,Mike Dean,Match Report,,17,6,15.8,0.0,0,0
