,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2018-08-11,17:30,Premier League,Matchweek 1,Sat,Home,D,2,2,Everton,1.0,1.0,58,31231,Conor Coady,3-4-3,Craig Pawson,Match Report,,11,4,23.1,1.0,0,0
1,2018-08-18,15:00,Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,1.1,0.2,57,32043,Conor Coady,3-4-3,Mike Dean,Match Report,,11,2,16.8,0.0,0,0
2,2018-08-25,12:30,Premier League,Matchweek 3,Sat,Home,D,1,1,Manchester City,1.0,1.6,29,31322,Conor Coady,3-4-3,Martin Atkinson,Match Report,,11,2,17.9,0.0,0,0
4,2018-09-01,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,West Ham,1.0,1.1,52,56947,Conor Coady,3-4-3,Chris Kavanagh,Match Report,,15,6,21.2,0.0,0,0
5,2018-09-16,13:30,Premier League,Matchweek 5,Sun,Home,W,1,0,Burnley,2.6,0.3,59,30406,Conor Coady,3-4-3,Andre Marriner,Match Report,,30,6,18.2,0.0,0,0
6,2018-09-22,15:00,Premier League,Matchweek 6,Sat,Away,D,1,1,Manchester Utd,1.0,0.6,36,74489,Conor Coady,3-4-3,Kevin Friend,Match Report,,11,8,19.4,0.0,0,0
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Southampton,1.6,0.8,49,31147,Conor Coady,3-4-3,Stuart Attwell,Match Report,,14,6,16.4,2.0,0,0
9,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Away,W,1,0,Crystal Palace,0.7,1.4,33,25715,Conor Coady,3-4-3,Michael Oliver,Match Report,,7,2,17.1,0.0,0,0
10,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Home,L,0,2,Watford,0.7,1.1,45,31144,Conor Coady,3-4-3,Lee Mason,Match Report,,10,1,20.7,1.0,0,0
11,2018-10-27,15:00,Premier League,Matchweek 10,Sat,Away,L,0,1,Brighton,1.4,0.9,60,30654,Conor Coady,3-4-3,Anthony Taylor,Match Report,,25,7,19.8,1.0,0,0
12,2018-11-03,19:45,Premier League,Matchweek 11,Sat,Home,L,2,3,Tottenham,2.7,1.4,49,31185,Conor Coady,3-4-3,Mike Dean,Match Report,,14,5,20.8,0.0,2,2
13,2018-11-11,16:30,Premier League,Matchweek 12,Sun,Away,D,1,1,Arsenal,1.9,0.9,29,60030,Conor Coady,3-4-3,Stuart Attwell,Match Report,,13,5,19.9,0.0,0,0
14,2018-11-25,16:00,Premier League,Matchweek 13,Sun,Home,L,0,2,Huddersfield,0.8,0.7,46,30130,Conor Coady,3-4-3,Kevin Friend,Match Report,,12,2,17.0,2.0,0,0
15,2018-11-30,20:00,Premier League,Matchweek 14,Fri,Away,L,1,2,Cardiff City,0.8,1.0,52,30213,Conor Coady,3-4-3,Andre Marriner,Match Report,,15,4,19.4,0.0,0,0
